endTime,artistName,trackName,msPlayed
2020-09-19 23:23,Taylor Swift,exile (feat. Bon Iver),161351
2020-09-26 23:02,Taylor Swift,the last great american dynasty,4527
2020-09-26 23:03,Taylor Swift,my tears ricochet,15882
2020-09-26 23:03,Taylor Swift,epiphany,36524
2020-09-26 23:07,Taylor Swift,cardigan,239560
2020-09-26 23:12,Taylor Swift,hoax,37709
2020-09-26 23:12,Taylor Swift,illicit affairs,5665
2020-09-26 23:12,Taylor Swift,august,261920
2020-09-26 23:16,Taylor Swift,the 1,210240
2020-09-26 23:19,Taylor Swift,mirrorball,208973
2020-09-26 23:20,Taylor Swift,the lakes - bonus track,33968
2020-09-29 20:36,Taylor Swift,the lakes - bonus track,1509
2020-09-29 20:37,Taylor Swift,this is me trying,17832
2020-09-29 20:40,Taylor Swift,betty,17011
2020-09-29 20:40,Taylor Swift,seven,208906
2020-09-29 20:44,Taylor Swift,mad woman,237266
2020-09-29 20:48,Taylor Swift,peace,234000
2020-09-29 20:52,Taylor Swift,invisible string,252880
2020-09-29 20:57,Taylor Swift,exile (feat. Bon Iver),285640
2020-09-29 20:58,Taylor Swift,the last great american dynasty,21524
2020-09-29 23:13,Taylor Swift,the last great american dynasty,743
2020-09-29 23:16,Taylor Swift,epiphany,169853
2020-09-29 23:20,Taylor Swift,my tears ricochet,255893
2020-09-29 23:24,Taylor Swift,cardigan,239560
2020-09-29 23:28,Taylor Swift,august,234301
2020-09-30 23:27,Taylor Swift,august,27610
2020-09-30 23:31,Taylor Swift,hoax,220040
2020-09-30 23:34,Taylor Swift,illicit affairs,190893
2020-09-30 23:38,Taylor Swift,the 1,210240
2020-09-30 23:41,Taylor Swift,mirrorball,208973
2020-09-30 23:45,Taylor Swift,the lakes - bonus track,211813
2020-09-30 23:48,Taylor Swift,this is me trying,140650
2020-10-01 01:43,Taylor Swift,this is me trying,54702
2020-10-01 01:44,Taylor Swift,seven,49705
2020-10-01 01:45,Taylor Swift,betty,17345
2020-10-01 01:45,Taylor Swift,mad woman,4736
2020-10-01 01:48,Taylor Swift,peace,234000
2020-10-01 01:53,Taylor Swift,invisible string,252880
2020-10-01 01:57,Taylor Swift,exile (feat. Bon Iver),285640
2020-10-01 01:59,Taylor Swift,the last great american dynasty,79754
2020-10-06 23:03,Taylor Swift,the last great american dynasty,1114
2020-10-06 23:04,Taylor Swift,epiphany,7801
2020-10-06 23:04,Hayley Williams,Taken,789
2020-10-06 23:08,Hayley Williams,Simmer,266115
2020-10-06 23:12,Hayley Williams,Why We Ever,263400
2020-10-06 23:17,Hayley Williams,Leave It Alone,245076
2020-10-06 23:20,Hayley Williams,Crystal Clear,212894
2020-10-06 23:24,Hayley Williams,Cinnamon,211834
2020-10-06 23:29,Hayley Williams,Roses/Lotus/Violet/Iris,256065
2020-10-07 00:37,Green Day,Know Your Enemy,190986
2020-10-07 00:39,Green Day,Good Riddance (Time of Your Life),153466
